k_h_per_mpc,sobol_baseline_p68_k,this_method_p68_k,improvement_fraction
1.4168378114700317,0.02071167965053462,0.015095548253860858,0.27115769901012327
1.423118233680725,0.020699540376024173,0.015072237494972773,0.27185641704244706
1.4293978214263916,0.020684361736016267,0.015050484034104139,0.272373775599865
1.4356869459152222,0.020674045776008353,0.015025039750081471,0.27324143939365725
1.4419771432876587,0.02066228306691369,0.014998958043051047,0.2740899931301043
1.4482536315917969,0.020647002200286656,0.01498422739490377,0.27426619857212325
1.4545323848724365,0.020632170844528952,0.014955597019585598,0.2751321646044151
1.4608193635940552,0.020621494623885406,0.014931657777498053,0.2759177717311016
1.4671103954315186,0.02060651309905084,0.01490881776059805,0.2764997314715624
1.4733929634094238,0.020595844628096716,0.014885546734093502,0.27725485393365523
1.4796699285507202,0.020584612633495647,0.01487014116984744,0.2776088899700506
1.4859561920166016,0.020570725521836142,0.014843354978168712,0.27842336127560197
1.4922336339950562,0.020561334916139852,0.014827661579251973,0.2788570567170309
1.498502492904663,0.020549369060419088,0.014802746923318734,0.2796495658919834
1.5047857761383057,0.020536940209206468,0.014778094075455208,0.2804140283356153
1.5110759735107422,0.020525120870593393,0.014767578344385558,0.2805119912573446
1.5173616409301758,0.020511172982645265,0.014745626129155556,0.2810929856799513
1.5236486196517944,0.020505036700649848,0.014723540988231589,0.28195490682711294
1.529937982559204,0.020491326681575783,0.014709037715113829,0.28218226454126766
1.536230206489563,0.02047797331664549,0.014681661043318963,0.28305107071386815
1.542510747909546,0.02047260993498452,0.014651431414651885,0.28433983448222405
1.5487840175628662,0.020459991826425394,0.014625118811186024,0.28518452327548127
1.5550730228424072,0.020450830682882958,0.014597906760256987,0.2861949234915324
1.5613573789596558,0.02044114354448001,0.01457067394310805,0.28718890352674237
1.567629098892212,0.02042928536418933,0.014546982753286433,0.28793482033463763
1.5739136934280396,0.020423297550713215,0.014514826805466499,0.28930052703660397
1.5802035331726074,0.020409930687623624,0.014490638906282573,0.29002018046687683
1.5864853858947754,0.020397784812758602,0.014460540017188042,0.29107301847095063
1.5927599668502808,0.020391109046662546,0.01443630326432972,0.2920295197630489
1.5990464687347412,0.02037876564378238,0.014413464084511276,0.29272143679080664
1.605342149734497,0.020365464490614205,0.014380568717342791,0.29387474938416763
1.6116198301315308,0.020351214097182234,0.01435951890299312,0.2944146312636309
1.617897629737854,0.02033894529774769,0.014334203786407686,0.29523367231854264
1.624183177947998,0.020325954964538394,0.014305393942140877,0.29620064754159237
1.6304645538330078,0.02031280515336693,0.014279091994523131,0.29703987771692314
1.636749029159546,0.02029895808398363,0.014251805957699572,0.29790455752777817
1.6430308818817139,0.02028332715598642,0.014226168057944034,0.29862749101567765
1.6493091583251953,0.02027064374763974,0.01420425490780839,0.2992696687562132
1.6555936336517334,0.020254535842232423,0.014175642310156979,0.3001250475165388
1.661879539489746,0.020245671506226536,0.014147987388802852,0.3011845823710193
1.668169379234314,0.02022982356033869,0.014123480993223669,0.30184853312743315
1.674450159072876,0.020220840125343465,0.01409613010791122,0.3028909768074343
1.680722713470459,0.020200768333733587,0.014072568917153605,0.3033646698648785
1.687013864517212,0.020191418990184885,0.014039201117820666,0.304694676256029
1.69330894947052,0.020177549447858347,0.014009652057863064,0.30568119314657144
1.6995820999145508,0.020161986079168883,0.013981886676394596,0.3065223524362756
1.7058637142181396,0.020149979957399023,0.013978756307861518,0.3062645056017263
1.7121543884277344,0.020138006196235382,0.013980386118973231,0.3057710886201466
1.7184383869171143,0.02012236822257576,0.01397179929969965,0.30565830298123864
1.7247213125228882,0.02010867488705539,0.013972288976543257,0.3051611279698159
1.7309974431991577,0.020096982909734162,0.013971998348209414,0.30477134747216483
1.7372870445251465,0.02008303733745509,0.013968400733499165,0.30446772075417394
1.743567943572998,0.020074044002290514,0.013965901912581425,0.3042805968250409
1.7498407363891602,0.020056775504171353,0.013960711499572875,0.30394038180916144
1.7561285495758057,0.02004471280486424,0.013955193939022203,0.30379676302293024
1.762413501739502,0.020030344948425306,0.013950970128306662,0.30350824390553377
1.7686961889266968,0.020016548270879665,0.013952953355807419,0.3029290981149653
1.7749793529510498,0.02000406306458029,0.013957579113707786,0.3022627918814436
1.7812654972076416,0.019990080921671118,0.013972122675299615,0.3010472178653101
1.787549376487732,0.01997897752431066,0.013984007186939885,0.3000639211929651
1.7938340902328491,0.01996498509200504,0.013988614239238518,0.29934261534509005
1.8001151084899902,0.019954402329415855,0.013997151775922978,0.29854317133372493
1.8063938617706299,0.019941613897750288,0.014004294147569719,0.297735167305109
1.8126740455627441,0.019931006476479274,0.01401883556821284,0.29663182916745473
1.818956971168518,0.019914136981813657,0.014033588420817145,0.29529517479802675
1.8252441883087158,0.019903698822403705,0.01404103723248964,0.2945513616451543
1.8315272331237793,0.019890912619344926,0.014046473993478826,0.2938245588682586
1.8378113508224487,0.019880024325430345,0.014055821441487249,0.292967593429593
1.8441007137298584,0.019867126325733488,0.014072296291864106,0.2916793268870222
1.8503848314285278,0.019852187160057946,0.014076720720203228,0.2909234329341201
1.856666088104248,0.019838460252022495,0.01408522738753364,0.29000400189335884
1.862947702407837,0.019820227115846946,0.014101001325631813,0.28855500781029986
1.8692293167114258,0.019803857075666544,0.01411035602341879,0.2874945537373873
1.8755176067352295,0.01978776543156682,0.01411645203179417,0.28660706634036487
1.8818007707595825,0.01977011858073958,0.01412645685835794,0.28546423226210704
1.8880788087844849,0.019755853566375835,0.014138191553607382,0.28435430511236576
1.894353985786438,0.01973908604469894,0.014149729720560101,0.2831618602544111
1.9006427526474,0.01972094429881066,0.014156892289445966,0.28213922848006084
